asset_id;tipo_asset;area_geografica;eta_anni;temperatura_media;vibrazione_indice;carico_pct;umidita_media;manutenzioni_ultimi_5anni;giorni_da_ultima_manutenzione;criticita_utenza;guasto_entro_30gg
AST-00315;cabina_primaria;Nord;12;26,8;2,07;74,0;57,8;2;209;standard;0
AST-00316;trasformatore;Nord;19;46,8;1,58;78,0;44,2;3;242;standard;0
AST-00317;turbina_eolica;Nord;14;41,9;2,4;35,7;73,1;4;162;alta;0
AST-00318;cabina_primaria;Sud;18;54,5;1,48;59,1;49,1;4;345;alta;1
AST-00319;trasformatore;Nord;12;42,3;1,03;40,5;80,3;2;131;critica;0
AST-00320;linea_AT;Isole;23;41,6;1,21;70,2;76,7;2;340;alta;0
AST-00321;turbina_eolica;Isole;21;45,8;3,55;73,9;65,3;1;306;standard;1
AST-00322;cabina_primaria;Centro;20;36,6;1,72;70,5;64,5;4;85;standard;0
AST-00323;turbina_eolica;Nord;15;36,2;1,68;89,2;75,9;4;104;standard;0
AST-00324;turbina_eolica;Centro;7;41,1;3,48;41,0;65,8;2;282;critica;0
AST-00325;trasformatore;Sud;13;33,7;3,9;53,6;56,3;5;306;standard;0
AST-00326;linea_AT;Sud;26;39,9;0,19;75,5;40,8;3;312;standard;0
AST-00327;linea_AT;Sud;18;59,5;0,52;72,8;75,4;1;311;alta;0
AST-00328;trasformatore;Centro;19;51,4;2,84;44,3;67,1;1;310;standard;0
AST-00329;turbina_eolica;Centro;22;44,8;1,78;89,5;100,0;3;136;critica;0
AST-00330;cabina_primaria;Nord;6;56,0;3,91;95,8;60,7;2;182;standard;0
AST-00331;trasformatore;Sud;15;34,6;0,4;75,7;66,2;1;335;standard;0
AST-00332;trasformatore;Nord;24;64,4;1,96;40,8;66,6;2;165;critica;1
AST-00333;linea_AT;Sud;25;37,9;2,49;70,9;71,1;1;360;standard;0
AST-00334;trasformatore;Sud;20;60,0;1,33;74,1;48,5;2;345;standard;1
AST-00335;trasformatore;Nord;8;60,0;2,73;63,1;60,9;1;223;standard;0
AST-00336;turbina_eolica;Centro;14;26,2;2,87;92,3;73,6;1;208;alta;0
AST-00337;trasformatore;Nord;7;55,2;1,59;65,9;57,3;4;300;standard;0
AST-00338;turbina_eolica;Sud;28;39,4;1,51;100,0;73,1;0;344;standard;0
AST-00339;linea_AT;Nord;9;36,9;3,06;82,1;63,4;1;24;standard;0
AST-00340;linea_AT;Isole;32;46,7;1,94;73,0;67,6;1;431;standard;1
AST-00341;trasformatore;Nord;12;32,9;2,37;84,6;78,1;8;191;standard;0
AST-00342;cabina_primaria;Isole;19;46,5;1,93;95,6;58,8;1;383;standard;1
AST-00343;trasformatore;Sud;20;33,5;1,86;84,2;41,7;2;319;alta;1
AST-00344;linea_AT;Centro;1;43,6;1,51;66,6;58,3;5;41;standard;0
AST-00345;turbina_eolica;Sud;22;54,0;2,48;56,1;50,4;0;184;standard;1
AST-00346;linea_AT;Sud;22;45,5;0,88;47,8;32,2;1;472;standard;0
AST-00347;trasformatore;Isole;30;38,8;0,42;24,1;60,5;2;333;standard;0
AST-00348;trasformatore;Nord;3;46,9;1,68;71,1;64,8;8;237;standard;0
AST-00349;turbina_eolica;Centro;24;29,3;3,94;61,0;76,3;2;82;critica;0
AST-00350;trasformatore;Nord;19;34,5;1,94;62,0;46,0;3;76;standard;0
AST-00351;trasformatore;Centro;25;38,1;1,41;86,5;63,2;4;264;alta;0
AST-00352;linea_AT;Nord;14;49,1;1,28;66,0;77,8;3;152;standard;0
AST-00353;cabina_primaria;Centro;23;45,7;1,22;100,0;54,0;5;253;alta;0
AST-00354;trasformatore;Centro;8;46,8;0,09;57,7;69,5;4;209;alta;0
AST-00355;cabina_primaria;Centro;21;41,8;3,6;50,5;84,4;4;193;alta;0
AST-00356;linea_AT;Centro;12;34,9;1,13;45,4;35,9;7;156;standard;0
AST-00357;cabina_primaria;Sud;13;55,4;1,7;81,0;65,8;3;244;standard;0
AST-00358;linea_AT;Sud;16;35,7;1,35;88,7;78,3;1;452;alta;0
AST-00359;linea_AT;Centro;17;45,8;0,98;57,3;57,1;2;335;standard;0
AST-00360;turbina_eolica;Centro;12;41,0;3,72;48,8;81,4;2;127;standard;0
AST-00361;linea_AT;Isole;27;47,1;0,7;95,5;70,9;8;292;alta;0
AST-00362;cabina_primaria;Nord;3;36,6;2,54;41,9;86,8;12;132;standard;0
AST-00363;trasformatore;Nord;1;51,5;0,48;86,2;70,2;3;187;standard;0
AST-00364;trasformatore;Nord;22;54,4;1,52;57,7;87,9;3;145;alta;0
AST-00365;trasformatore;Sud;28;50,9;3,39;75,1;66,2;2;380;standard;0
AST-00366;cabina_primaria;Centro;11;43,4;1,18;87,4;42,9;1;206;alta;0
AST-00367;turbina_eolica;Sud;23;38,1;2,39;76,6;53,2;1;331;alta;1
AST-00368;linea_AT;Sud;29;67,4;1,14;62,7;76,3;6;533;standard;0
AST-00369;cabina_primaria;Nord;17;33,1;1,32;93,1;76,0;2;118;standard;0
AST-00370;cabina_primaria;Isole;26;49,9;2,77;73,2;57,7;1;511;critica;1
AST-00371;trasformatore;Sud;30;45,0;2,42;100,0;87,3;3;456;standard;1
AST-00372;linea_AT;Nord;10;41,4;3,97;37,3;57,0;4;200;critica;0
AST-00373;cabina_primaria;Nord;14;43,7;1,18;37,0;68,5;3;15;standard;0
AST-00374;trasformatore;Nord;14;37,4;2,13;85,9;68,1;3;162;standard;0
AST-00375;linea_AT;Nord;12;45,8;1,77;67,4;43,4;2;119;alta;0
AST-00376;turbina_eolica;Nord;12;44,9;2,17;82,3;60,5;7;162;standard;0
AST-00377;linea_AT;Isole;25;66,1;3,22;48,2;95,3;1;295;standard;1
AST-00378;turbina_eolica;Centro;17;51,6;1,02;69,0;49,1;2;271;alta;0
AST-00379;trasformatore;Centro;11;46,6;2,07;76,2;70,8;2;289;standard;0
AST-00380;trasformatore;Sud;28;47,2;3,69;58,2;45,8;2;434;standard;0
AST-00381;trasformatore;Centro;11;58,6;1,77;72,2;48,9;2;179;alta;0
AST-00382;trasformatore;Isole;24;33,3;2,75;43,5;42,2;1;295;standard;0
AST-00383;linea_AT;Sud;21;40,4;0,29;75,1;75,2;3;368;alta;0
AST-00384;turbina_eolica;Centro;19;24,8;1,83;94,0;49,8;5;350;standard;0
AST-00385;trasformatore;Nord;1;47,0;1,23;45,7;79,7;5;166;standard;0
AST-00386;linea_AT;Isole;30;49,6;2,4;44,6;54,6;1;416;standard;1
AST-00387;linea_AT;Sud;19;33,0;2,08;89,4;63,8;4;321;critica;0
AST-00388;turbina_eolica;Isole;32;54,9;0,89;44,3;67,8;1;340;standard;1
AST-00389;cabina_primaria;Nord;11;35,5;0,53;83,1;39,4;6;213;critica;0
AST-00390;turbina_eolica;Sud;23;38,9;5,2;69,0;64,9;2;332;alta;1
AST-00391;cabina_primaria;Centro;28;43,1;2,19;60,5;66,9;2;242;alta;0
AST-00392;trasformatore;Nord;12;56,3;2,16;94,4;78,0;3;201;standard;0
AST-00393;linea_AT;Centro;24;34,3;1,0;84,7;48,6;4;238;standard;0
AST-00394;cabina_primaria;Sud;23;44,6;1,35;73,0;50,6;2;385;standard;0
AST-00395;cabina_primaria;Nord;16;49,0;3,71;29,3;71,2;5;92;alta;0
AST-00396;linea_AT;Centro;17;47,1;1,8;80,8;81,8;2;137;standard;0
AST-00397;linea_AT;Sud;28;47,4;3,8;48,7;53,7;2;337;standard;1
AST-00398;turbina_eolica;Nord;10;48,9;2,2;64,0;44,7;4;159;standard;0
AST-00399;linea_AT;Centro;11;37,0;3,28;68,1;57,6;6;168;standard;0
AST-00400;linea_AT;Centro;13;57,2;0,27;100,0;47,8;1;229;standard;0
AST-00401;cabina_primaria;Nord;15;41,0;0,96;63,4;67,6;3;233;standard;0
AST-00402;turbina_eolica;Isole;24;39,8;1,78;42,4;46,9;3;475;standard;1
AST-00403;trasformatore;Sud;27;54,1;1,44;94,5;75,6;4;453;standard;1
AST-00404;linea_AT;Nord;22;36,3;2,41;81,1;65,0;3;55;standard;0
AST-00405;trasformatore;Isole;19;44,9;0,53;81,7;76,1;1;287;standard;0
AST-00406;trasformatore;Sud;19;35,5;0,54;94,8;28,1;6;317;critica;0
AST-00407;trasformatore;Nord;5;64,7;2,35;99,0;37,4;1;166;standard;1
AST-00408;linea_AT;Sud;35;62,8;3,19;51,9;80,1;0;321;alta;1
AST-00409;trasformatore;Nord;16;41,0;1,35;43,0;51,9;4;116;standard;0
AST-00410;trasformatore;Isole;28;46,7;4,05;83,2;41,5;3;356;alta;1
AST-00411;trasformatore;Sud;15;42,0;4,65;63,3;59,2;5;379;standard;0
AST-00412;cabina_primaria;Sud;23;38,9;1,65;64,9;65,4;4;234;alta;0
AST-00413;linea_AT;Nord;17;43,1;1,31;47,8;59,8;3;347;alta;1
AST-00414;trasformatore;Isole;23;41,6;1,1;78,5;68,6;0;382;alta;1
AST-00415;trasformatore;Nord;20;28,3;0,95;75,2;66,7;5;244;standard;0
AST-00416;linea_AT;Nord;28;44,4;2,66;65,2;65,9;3;114;alta;0
AST-00417;trasformatore;Nord;8;41,6;0,86;43,0;80,9;2;206;standard;0
AST-00418;linea_AT;Sud;17;44,8;0,74;89,8;61,8;2;348;standard;0
AST-00419;turbina_eolica;Nord;9;41,3;0,92;72,6;61,4;4;229;alta;0
AST-00420;cabina_primaria;Isole;35;38,8;1,67;88,1;73,2;7;364;alta;0
AST-00421;trasformatore;Sud;29;49,9;1,75;30,1;69,7;5;464;alta;0
AST-00422;linea_AT;Nord;13;46,8;2,57;69,0;49,4;5;41;alta;0
AST-00423;trasformatore;Nord;14;54,6;1,56;55,1;60,7;4;236;alta;0
AST-00424;cabina_primaria;Nord;9;46,5;0,5;68,7;68,1;3;169;standard;0
AST-00425;cabina_primaria;Centro;22;40,2;1,27;85,0;53,8;2;129;standard;0
AST-00426;linea_AT;Sud;21;47,6;1,69;74,7;54,5;1;496;standard;1
AST-00427;turbina_eolica;Nord;12;24,2;1,05;68,3;42,5;3;308;standard;0
AST-00428;trasformatore;Sud;27;60,9;2,07;68,2;21,6;3;174;alta;0
AST-00429;cabina_primaria;Nord;13;44,5;0,16;39,9;56,8;3;174;standard;0
AST-00430;linea_AT;Sud;22;61,7;1,55;51,7;63,8;3;396;alta;1
AST-00431;trasformatore;Isole;25;34,2;3,6;88,2;46,7;3;415;standard;1
AST-00432;turbina_eolica;Sud;28;31,9;3,13;58,9;81,3;2;461;standard;0
AST-00433;turbina_eolica;Sud;33;45,3;1,84;88,5;47,3;3;445;critica;0
AST-00434;cabina_primaria;Sud;27;45,3;1,74;82,9;74,8;2;361;standard;1
AST-00435;linea_AT;Nord;19;45,0;2,28;83,8;67,9;8;342;standard;1
AST-00436;linea_AT;Nord;13;43,7;0,75;74,0;92,5;6;235;alta;0
AST-00437;linea_AT;Nord;10;36,3;2,97;60,2;69,6;3;132;standard;0
AST-00438;trasformatore;Centro;21;28,6;3,97;65,3;41,8;4;166;standard;0
AST-00439;turbina_eolica;Sud;24;44,5;1,54;79,5;76,8;2;439;alta;1
AST-00440;trasformatore;Centro;8;30,5;1,84;29,7;85,8;2;147;standard;0
AST-00441;linea_AT;Sud;21;29,6;2,59;90,4;37,2;1;307;critica;0
AST-00442;turbina_eolica;Nord;14;38,6;0,97;59,0;70,9;2;141;alta;0
AST-00443;turbina_eolica;Sud;20;45,9;4,05;66,4;74,0;3;368;standard;0
AST-00444;trasformatore;Nord;23;59,9;5,13;66,6;59,0;3;145;critica;1
AST-00445;trasformatore;Nord;17;50,8;2,4;67,3;28,1;6;55;standard;0
AST-00446;linea_AT;Sud;31;54,9;4,25;44,4;57,9;1;433;standard;0
AST-00447;trasformatore;Isole;27;47,9;0,67;70,7;53,9;0;348;alta;1
AST-00448;trasformatore;Centro;17;45,3;2,03;78,7;83,4;3;372;standard;0
AST-00449;linea_AT;Nord;8;64,6;0,31;31,2;60,8;6;184;standard;0
AST-00450;turbina_eolica;Centro;17;30,1;1,27;44,6;56,2;2;311;standard;0
AST-00451;turbina_eolica;Nord;14;38,3;1,29;84,1;53,8;9;210;standard;0
AST-00452;turbina_eolica;Isole;17;39,0;1,06;80,8;66,6;1;485;standard;0
AST-00453;cabina_primaria;Sud;20;50,0;0,68;73,4;62,8;1;386;standard;0
AST-00454;trasformatore;Nord;12;33,2;2,39;55,7;50,9;3;179;critica;0
AST-00455;linea_AT;Nord;16;48,9;0,91;80,9;65,7;3;247;alta;0
AST-00456;cabina_primaria;Nord;17;47,2;2,39;46,3;54,2;6;359;standard;0
AST-00457;linea_AT;Isole;22;49,3;1,62;65,5;25,7;0;358;standard;0
AST-00458;turbina_eolica;Centro;20;49,2;2,11;44,5;71,4;1;274;standard;1
AST-00459;linea_AT;Sud;22;55,8;1,14;65,1;70,0;4;340;standard;0
AST-00460;turbina_eolica;Centro;1;41,6;1,61;49,5;64,8;4;250;alta;0
AST-00461;turbina_eolica;Centro;14;46,8;5,7;81,6;55,8;5;213;alta;1
AST-00462;turbina_eolica;Nord;20;35,4;2,06;75,8;61,0;5;15;standard;0
AST-00463;trasformatore;Isole;15;33,3;4,06;57,7;73,5;3;364;critica;0
AST-00464;trasformatore;Nord;15;57,9;3,92;87,6;53,2;1;240;alta;1
AST-00465;turbina_eolica;Centro;27;34,7;0,58;50,8;74,0;3;149;standard;0
AST-00466;trasformatore;Sud;18;47,8;3,92;67,4;41,4;3;414;critica;1
AST-00467;turbina_eolica;Centro;17;46,8;1,61;56,9;64,4;5;225;standard;0
AST-00468;linea_AT;Isole;17;52,6;1,29;81,4;62,4;2;365;critica;0
AST-00469;cabina_primaria;Nord;24;27,1;0,77;79,6;76,0;4;232;alta;0
AST-00470;trasformatore;Centro;17;50,0;0,58;91,4;49,1;5;264;standard;0
AST-00471;linea_AT;Centro;17;41,5;2,34;69,5;50,7;4;244;standard;0
AST-00472;turbina_eolica;Centro;25;36,6;0,56;14,7;42,5;2;291;standard;0
AST-00473;trasformatore;Nord;18;39,7;2,41;60,2;54,1;6;176;alta;0
AST-00474;trasformatore;Nord;9;51,3;0,2;96,2;65,6;4;28;alta;0
AST-00475;trasformatore;Nord;10;48,6;0,82;62,2;36,8;3;130;standard;0
AST-00476;trasformatore;Nord;17;40,8;1,44;33,5;55,8;4;16;alta;0
AST-00477;trasformatore;Centro;13;31,7;1,75;76,1;70,6;4;263;standard;0
AST-00478;turbina_eolica;Centro;4;32,4;0,86;77,4;60,6;5;282;standard;0
AST-00479;turbina_eolica;Centro;17;48,8;0,63;54,9;63,1;3;285;standard;0
AST-00480;trasformatore;Centro;8;30,5;1,33;63,6;40,9;4;249;alta;0
AST-00481;trasformatore;Centro;27;40,9;1,08;52,7;60,6;3;287;alta;0
AST-00482;trasformatore;Nord;15;66,1;1,19;77,4;62,4;3;34;standard;0
AST-00483;turbina_eolica;Centro;12;46,1;2,49;69,0;59,7;2;201;alta;0
AST-00484;trasformatore;Nord;10;48,7;3,53;47,0;64,1;2;47;alta;0
AST-00485;turbina_eolica;Nord;3;32,5;1,27;67,8;57,7;6;131;standard;0
AST-00486;trasformatore;Centro;10;31,0;2,49;54,8;55,6;0;339;standard;0
AST-00487;trasformatore;Centro;23;49,2;1,11;94,3;47,4;4;297;standard;0
AST-00488;cabina_primaria;Nord;27;39,5;1,04;84,1;75,6;2;213;standard;1
AST-00489;trasformatore;Centro;21;52,6;1,32;65,8;44,8;5;195;standard;0
AST-00490;trasformatore;Centro;16;43,3;3,2;69,5;64,2;3;131;alta;0
AST-00491;trasformatore;Sud;20;74,0;0,45;86,2;87,4;2;355;standard;0
AST-00492;cabina_primaria;Centro;11;37,7;0,4;64,9;77,4;8;299;alta;0
AST-00493;linea_AT;Sud;35;45,5;4,55;81,7;69,1;3;373;critica;1
AST-00494;linea_AT;Nord;13;34,9;0,83;94,6;65,5;3;33;standard;0
AST-00495;cabina_primaria;Sud;36;52,2;1,46;59,2;60,2;2;348;standard;0
AST-00496;trasformatore;Centro;25;46,9;1,18;97,6;49,4;6;57;standard;0
AST-00497;cabina_primaria;Centro;7;34,2;3,99;92,4;58,4;6;274;alta;0
AST-00498;trasformatore;Centro;13;40,0;3,18;72,5;70,0;8;155;standard;0
AST-00499;linea_AT;Nord;10;55,2;0,62;60,0;67,5;4;62;standard;0
AST-00500;turbina_eolica;Centro;17;54,2;1,76;72,3;73,0;5;275;alta;0
AST-00501;turbina_eolica;Sud;23;30,2;2,08;63,6;79,1;3;385;alta;0
AST-00502;cabina_primaria;Isole;43;38,7;2,44;53,7;59,8;0;399;standard;0
AST-00503;trasformatore;Isole;19;59,3;0,27;77,6;64,7;1;555;alta;0
AST-00504;cabina_primaria;Centro;18;41,4;0,4;49,6;35,4;4;261;critica;0
AST-00505;turbina_eolica;Centro;21;44,6;2,56;61,9;93,6;4;158;alta;0
AST-00506;linea_AT;Sud;23;52,1;0,55;62,1;56,2;2;382;standard;0
AST-00507;cabina_primaria;Nord;15;30,9;2,06;43,4;71,1;6;137;alta;0
AST-00508;trasformatore;Sud;17;34,4;0,65;79,9;56,2;2;441;alta;0
AST-00509;cabina_primaria;Centro;18;40,0;0,42;63,9;55,9;4;232;standard;0
AST-00510;linea_AT;Nord;17;53,7;0,81;91,4;58,7;4;190;alta;0
AST-00511;linea_AT;Nord;16;52,1;1,57;63,6;44,6;4;45;standard;0
AST-00512;trasformatore;Sud;26;49,4;2,0;60,7;27,3;1;345;standard;0
AST-00513;turbina_eolica;Nord;22;41,6;2,16;51,7;78,2;5;155;alta;0
AST-00514;linea_AT;Nord;20;53,1;2,76;68,7;69,6;2;78;alta;0
AST-00515;turbina_eolica;Nord;14;41,5;0,85;68,8;49,2;4;142;standard;0
AST-00516;trasformatore;Nord;7;48,1;2,66;81,4;68,3;7;195;standard;0
AST-00517;trasformatore;Nord;10;51,1;1,68;69,2;73,5;8;160;standard;0
AST-00518;cabina_primaria;Sud;22;58,2;1,87;100,0;52,3;1;227;standard;0
AST-00519;trasformatore;Nord;16;42,4;6,03;76,2;67,8;4;138;alta;0
AST-00520;linea_AT;Sud;20;39,6;2,37;50,2;76,1;2;303;standard;0
AST-00521;cabina_primaria;Sud;17;54,6;1,37;48,7;41,9;2;355;alta;0
AST-00522;trasformatore;Nord;7;55,2;1,21;77,6;69,5;3;167;standard;0
AST-00523;trasformatore;Nord;4;38,0;1,59;49,7;67,1;5;127;alta;0
AST-00524;linea_AT;Centro;16;33,0;0,48;78,7;88,3;3;174;standard;0
AST-00525;trasformatore;Nord;5;53,9;2,06;84,1;69,8;2;165;alta;0
AST-00526;linea_AT;Nord;8;28,1;1,57;84,6;56,2;4;237;standard;0
AST-00527;linea_AT;Isole;23;27,7;1,86;52,4;57,9;3;402;standard;0
AST-00528;linea_AT;Isole;17;40,5;1,68;84,6;90,3;3;494;alta;0
AST-00529;turbina_eolica;Sud;25;42,9;0,52;73,8;57,0;1;431;standard;1
AST-00530;linea_AT;Nord;18;32,5;2,43;57,1;70,2;8;280;standard;0
AST-00531;linea_AT;Sud;20;44,0;1,02;65,1;58,7;2;449;critica;0
AST-00532;trasformatore;Sud;20;44,4;2,97;76,5;77,1;1;465;alta;1
AST-00533;linea_AT;Centro;20;37,7;2,57;55,9;77,8;1;118;standard;0
AST-00534;cabina_primaria;Centro;13;60,3;4,39;73,4;61,7;5;262;alta;1
AST-00535;linea_AT;Nord;9;45,9;1,58;94,0;56,3;3;257;standard;1
AST-00536;turbina_eolica;Nord;21;52,2;2,77;85,4;56,0;3;272;standard;1
AST-00537;trasformatore;Centro;22;28,9;4,7;69,5;37,8;3;148;standard;1
AST-00538;trasformatore;Nord;18;28,8;0,95;72,2;63,4;2;213;standard;0
AST-00539;trasformatore;Nord;20;46,1;3,21;58,3;63,1;2;166;standard;1
AST-00540;trasformatore;Sud;11;58,7;2,35;58,8;50,6;1;488;standard;1
AST-00541;cabina_primaria;Isole;33;32,9;0,72;40,3;36,3;2;269;standard;0
AST-00542;trasformatore;Centro;19;43,3;1,45;72,5;64,9;4;148;standard;0
AST-00543;cabina_primaria;Sud;29;30,9;6,63;80,3;66,7;1;195;standard;1
AST-00544;trasformatore;Isole;27;35,5;3,1;66,7;67,5;3;392;standard;1
AST-00545;trasformatore;Nord;14;43,7;2,2;52,2;48,1;4;341;standard;1
AST-00546;turbina_eolica;Centro;15;37,6;0,98;69,2;67,6;3;206;standard;0
AST-00547;trasformatore;Centro;19;30,3;0,21;92,2;59,5;8;218;standard;0
AST-00548;linea_AT;Nord;12;30,0;0,55;84,2;74,1;2;204;standard;0
AST-00549;cabina_primaria;Sud;28;25,0;1,63;67,5;48,4;0;331;standard;0
AST-00550;cabina_primaria;Centro;7;46,3;1,63;100,0;78,1;7;239;alta;0
AST-00551;trasformatore;Centro;14;47,4;3,65;100,0;83,1;6;241;alta;0
AST-00552;linea_AT;Nord;26;47,3;0,8;59,4;63,6;2;92;alta;0
AST-00553;trasformatore;Nord;10;33,8;0,74;63,6;67,7;5;152;standard;0
AST-00554;cabina_primaria;Isole;24;51,1;2,37;80,5;73,0;1;439;standard;1
AST-00555;turbina_eolica;Nord;9;48,4;1,23;51,6;47,6;5;234;standard;0
AST-00556;trasformatore;Nord;16;42,1;1,22;83,3;55,2;7;264;critica;0
AST-00557;trasformatore;Nord;10;40,6;3,42;69,8;64,6;6;187;standard;0
AST-00558;trasformatore;Centro;16;36,2;0,71;74,7;90,4;10;238;alta;0
AST-00559;trasformatore;Centro;22;43,7;3,09;57,6;45,3;5;270;standard;0
AST-00560;cabina_primaria;Centro;13;56,6;2,18;53,8;84,9;3;162;critica;0
AST-00561;linea_AT;Nord;19;52,2;1,14;32,3;59,3;3;109;standard;0
AST-00562;cabina_primaria;Nord;19;39,7;1,59;94,7;61,5;3;150;standard;0
AST-00563;trasformatore;Sud;29;46,8;0,87;84,9;79,1;2;238;standard;1
AST-00564;linea_AT;Centro;18;32,1;1,41;80,1;90,3;2;243;alta;0
AST-00565;trasformatore;Centro;36;48,6;4,54;74,3;67,9;1;294;alta;1
AST-00566;turbina_eolica;Sud;29;34,5;0,95;26,5;78,3;2;283;alta;0
AST-00567;trasformatore;Sud;25;48,2;0,35;54,5;49,1;1;375;alta;0
AST-00568;trasformatore;Nord;9;68,7;1,63;63,4;54,6;7;110;standard;0
AST-00569;linea_AT;Nord;13;36,9;4,05;48,5;43,1;2;79;standard;0
AST-00570;trasformatore;Centro;26;68,3;1,89;37,5;54,8;1;374;alta;1
AST-00571;turbina_eolica;Nord;24;46,4;1,34;50,4;69,9;7;80;standard;0
AST-00572;linea_AT;Sud;32;35,3;1,3;68,9;65,0;3;238;standard;0
AST-00573;trasformatore;Centro;22;34,8;3,15;68,9;86,2;2;227;standard;0
AST-00574;cabina_primaria;Sud;15;63,3;2,06;84,3;90,8;1;361;standard;1
AST-00575;turbina_eolica;Sud;26;46,4;2,37;100,0;60,1;1;393;standard;1
AST-00576;cabina_primaria;Centro;10;36,9;1,79;80,3;52,5;7;370;alta;0
AST-00577;linea_AT;Isole;16;40,2;2,82;64,8;78,2;2;318;standard;0
AST-00578;linea_AT;Centro;18;45,9;4,54;100,0;79,7;3;164;standard;0
AST-00579;linea_AT;Sud;26;41,9;4,89;39,5;68,2;3;469;standard;0
AST-00580;cabina_primaria;Nord;19;45,1;1,61;30,6;71,9;3;235;alta;0
AST-00581;linea_AT;Centro;20;58,0;2,04;52,0;69,7;4;274;alta;0
AST-00582;trasformatore;Centro;20;31,8;4,42;82,6;48,2;3;163;alta;1
AST-00583;trasformatore;Nord;8;47,8;1,78;71,0;44,9;5;250;standard;0
AST-00584;linea_AT;Centro;16;41,3;3,13;47,7;61,3;5;274;critica;0
AST-00585;trasformatore;Isole;16;37,5;0,82;54,9;59,2;1;395;alta;0
AST-00586;trasformatore;Centro;5;51,6;0,92;45,7;65,9;3;163;standard;0
AST-00587;trasformatore;Nord;18;28,8;5,22;45,7;60,2;3;169;alta;1
AST-00588;turbina_eolica;Nord;9;20,7;2,66;95,9;38,2;1;292;standard;0
AST-00589;trasformatore;Nord;19;44,0;1,46;65,4;32,4;1;72;alta;0
AST-00590;linea_AT;Nord;21;40,8;1,09;99,9;72,3;2;96;alta;0
AST-00591;linea_AT;Isole;21;29,8;1,3;52,0;52,7;0;330;standard;0
AST-00592;cabina_primaria;Centro;21;26,6;0,57;76,8;58,8;6;177;standard;0
AST-00593;trasformatore;Nord;10;59,4;2,52;72,1;54,2;5;159;standard;0
AST-00594;turbina_eolica;Centro;6;46,2;2,35;83,8;49,2;2;287;alta;0
AST-00595;linea_AT;Nord;15;42,2;2,31;72,6;48,8;0;197;alta;1
AST-00596;turbina_eolica;Nord;11;61,8;3,8;85,7;76,3;7;165;standard;0
AST-00597;linea_AT;Sud;20;51,2;1,71;78,0;58,7;3;362;critica;0
AST-00598;trasformatore;Centro;29;57,9;2,18;48,4;70,9;5;260;standard;1
AST-00599;cabina_primaria;Isole;16;31,4;0,37;81,2;72,8;1;245;standard;0
AST-00600;trasformatore;Centro;19;31,0;2,68;66,1;66,4;4;296;standard;0
AST-00601;cabina_primaria;Centro;11;47,6;2,39;54,0;73,2;4;144;alta;0
AST-00602;linea_AT;Sud;28;45,7;0,64;80,5;62,2;1;305;alta;0
AST-00603;trasformatore;Isole;27;53,2;1,47;84,6;81,1;2;407;alta;1
AST-00604;linea_AT;Sud;25;27,3;3,47;59,3;73,5;1;334;alta;0
AST-00605;trasformatore;Isole;19;48,3;2,14;61,7;75,4;0;419;standard;0
AST-00606;linea_AT;Sud;18;50,9;1,02;43,0;48,9;3;351;standard;0
AST-00607;linea_AT;Sud;29;50,4;2,39;35,5;65,7;1;317;standard;1
AST-00608;trasformatore;Nord;25;38,3;4,91;63,6;36,3;2;282;standard;1
AST-00609;trasformatore;Sud;26;46,7;0,49;82,3;81,6;1;397;standard;0
AST-00610;linea_AT;Centro;12;35,0;2,62;57,7;53,3;3;234;standard;0
AST-00611;trasformatore;Centro;19;39,4;2,08;93,7;55,2;3;265;standard;0
AST-00612;cabina_primaria;Sud;38;32,6;0,59;64,3;42,9;3;284;standard;0
AST-00613;linea_AT;Isole;26;35,2;2,15;64,4;61,5;1;554;standard;0
AST-00614;linea_AT;Isole;34;39,8;1,1;62,8;58,2;0;293;critica;0
AST-00615;trasformatore;Nord;10;37,6;1,35;85,7;87,5;6;169;standard;0
AST-00616;linea_AT;Sud;23;35,2;2,4;50,7;74,0;3;317;critica;0
AST-00617;cabina_primaria;Sud;27;30,3;2,34;65,7;54,8;7;314;standard;0
AST-00618;trasformatore;Nord;16;59,6;2,31;58,1;38,7;6;124;alta;0
AST-00619;trasformatore;Nord;9;37,5;6,61;57,9;30,0;5;98;standard;0
AST-00620;trasformatore;Nord;9;45,0;1,51;68,6;47,6;4;255;standard;0
AST-00621;turbina_eolica;Sud;29;26,2;0,7;66,0;43,4;2;244;standard;0
AST-00622;linea_AT;Centro;24;54,2;2,64;86,9;66,9;1;289;standard;0
AST-00623;turbina_eolica;Isole;34;43,5;2,07;67,8;60,0;0;432;alta;1
AST-00624;linea_AT;Centro;28;38,0;1,14;78,0;62,2;2;180;standard;0
AST-00625;trasformatore;Isole;26;38,1;1,08;71,1;48,7;2;423;standard;0
AST-00626;trasformatore;Centro;15;49,8;3,96;93,3;64,1;4;197;alta;0
AST-00627;trasformatore;Sud;31;15,4;0,25;62,6;42,1;1;252;standard;0
AST-00628;cabina_primaria;Nord;18;34,6;2,04;62,6;60,8;7;73;standard;0
AST-00629;linea_AT;Centro;11;40,9;1,05;81,4;73,6;4;262;standard;0
AST-00630;turbina_eolica;Sud;17;40,8;2,24;62,3;56,9;5;388;standard;0
AST-00631;linea_AT;Isole;28;64,5;0,93;77,0;68,2;0;399;standard;1
AST-00632;trasformatore;Sud;22;39,0;2,27;100,0;34,3;2;309;standard;0
